SMALL_AREA,Clusters
47277023,5
47324008,3
47064018,4
47324015,7
47324021,7
47060005,6
47267002,5
47179005,6
47170004,5
47324017,7
47060010,6
47279012,4
47279013,3
47324016,7
47324018,5
47060007,6
47030004,3
47129005,6
47090018,5
47090015,3
48042010,3
47279009,3
47324003,5
47324002,6
47246003,5
48042002,3
47064012,6
47064008,3
47324019,6
47324013,3
47245008,3
48042004,5
47077024,4
47077021,3
47173009,6
48044012,4
47106010,5
48042007,5
48043016,6
48043014,7
47105005,3
47023007,3
47173002,3
47173005,3
48046002,6
47277021,5
47106012,3
47107024,5
47322004,5
47106004,5
47107006,5
47271011,5
47271003,3
47323005,6
47323003,5
047323034/047323035,7
47323023,6
47323015,6
47323017,5
47323008,3
47323019,6
47151009,6
47323001,5
47322005,5
47173008,3
47202005,5
47229001,3
47318003,3
47278008,3
48065005,4
47259002,3
048042009/02,5
48042016,6
48042013,6
48042017,3
48043007,7
47277008,6
47277003,3
47107005,5
47303011,5
47323021,6
47271006,4
47271002,5
47271021,4
47107013,5
047107010/047107028,7
47107009,7
47106028,2
47115010,6
47151006,3
47323028,5
47152002,5
47151005,4
47151007,4
47151011,3
47151010,5
47152012,5
47298014,4
48062008,2
47277018,3
47277022,6
47277028,3
47277004,4
47277027,4
47279004,4
47243016,6
47243018,3
47243005,5
47243003,6
47271012,4
47271010,5
47271008,7
47107008,6
47107007,5
47106003,3
47106015,3
47152005,5
47152006,5
47072032,3
47072033,3
47072035,5
47258009,6
47258007,6
47258008,5
47258006,5
47258005,5
47258019,3
47258018,5
047077001/03,3
47151001,6
47258012,5
47279006,4
47253020,3
47253017,5
47064015,3
47064017,4
47279011,3
47064009,4
47064005,3
47279007,4
48044005,4
48042008,5
47271020,7
47107015,5
47107017,5
47106008,6
47106006,3
47284001,3
47064023,4
47064027,4
47303016,2
47106024,4
47254009,5
47254016,7
47254015,4
47105012,3
47254014,5
47254002,6
47253004,6
47254012,6
47254010,7
47254013,5
47254005,5
47254017,7
47077015,3
47105010,4
47253008,3
48043003,5
47254004,5
47254001,7
47227005,3
48042003,4
47258011,4
47253016,3
47072041,5
47107019,5
47107018,2
47106021,3
47106022,3
47107001,3
47106023,3
47106020,3
47253027,3
47253022,3
47253021,3
47323024,3
47105007,3
47323027,6
47106016,3
47271007,3
47271013,6
47271004,3
47271015,3
47323020,6
47323025,5
47323031,3
47152003,5
47323026,6
47152011,7
47152001,5
47152007,5
47258004,5
48024009,5
48062012,2
048061008/02,6
48038004,5
47129003,6
47072012,3
47072011,3
47072005,3
48050006,6
48050007,6
47295003,5
47132025,2
47235019,4
47096005,7
47072019,3
47072020,4
47222003,6
47239005,5
47016004,3
47016048,3
47294013,7
47096006,5
47096011,5
47096013,5
47222008,5
47222012,7
47270006,7
47270008,3
47016054,4
47016007,5
47016010,3
48066004,6
47016049,3
47132005,5
47132030,3
47132035,4
47016026,5
47178010,7
47178005,7
47178014,4
47235001,2
47235013,4
47235012,4
48009007,7
48033004,6
48066005,6
47178002,3
47072022,3
47072025,4
47072034,5
47235030,5
47016021,5
47016036,3
48033005,6
48033006,6
48066007,5
47132028,4
47016025,5
47016022,2
48007008,5
48067002,6
48067001,5
48009011,3
48008003,5
47132027,4
47178020,7
47178021,3
47235002,5
47235020,3
48009006,5
48009003,5
48050002,6
48050001,6
47258015,6
47279008,4
47279005,4
47267008,5
47179009,3
47179008,3
47090004,3
47090003,6
47090002,6
47090008,3
47090007,6
48028006,7
48015008,7
48028003,7
48060002,7
048015009/02,7
48015002,7
48036002,6
48016005,5
48035003,6
48035002,6
48033008,5
048030004/02,7
48030006,7
48032002,5
48062004,5
47246009,6
47324022,7
47279010,6
47324001,5
47324011,3
48065007,5
47170003,3
47140010,3
47245011,6
048015009/01,7
48028001,5
48029003,5
48015005,7
48051003,3
48051004,5
47246012,5
48027003,6
48027004,6
48038001,6
48037002,6
48060004,7
48029001,5
47246006,6
47090012,5
48051002,6
48051001,5
48037003,6
48029002,5
48045002,7
48028009,5
48016006,6
48035001,6
48027001,5
48027002,6
48037006,7
48037001,7
47132002,5
47132036,5
47132040,4
47132080,3
48028007,6
48039009,6
48039011,6
48028008,6
48034001,6
48028002,7
48039013,6
48039010,6
48036001,5
48038002,6
48016003,6
48038003,5
48011001,6
47016063,6
47016041,5
47016046,3
47016018,5
48028010,7
48062011,5
47298006,6
47298007,6
48062009,6
48062003,2
47298013,4
48065003,3
47277001,3
47235034,3
47235009,3
47096010,7
47210003,3
47239006,2
47239007,6
47096015,5
47310003,5
47325008,7
48004002,6
048073002/02,6
48015006,7
48018001,7
48018004,7
48018002,4
48041003,5
48013001,5
48002002,4
48002006,4
48040003,7
47132009,3
48044001,5
48040005,4
48044006,2
48044004,4
48053007,7
48052004,5
48053003,7
47132016,3
47132013,4
47132014,3
47016040,5
48006006,5
48051014,7
048051007/02,3
48063006,5
48063007,5
48008009,6
48008011,6
48020004,7
48020001,7
48055005,7
48053001,7
48055004,7
48054002,7
48054001,7
48012011,7
48056001,7
48015007,7
48015001,7
48024001,7
48012009,7
48014001,7
48054004,7
48057006,7
48056005,7
48056004,7
48064001,7
48058003,5
48058004,7
48058001,7
48061002,6
48047003,6
48024005,6
48063003,5
48024004,6
48024003,6
48019002,7
48024008,7
47016042,5
048006001/01,7
048006001/02,7
48030001,5
48067003,5
48063004,5
48063001,7
48051012,5
47132003,5
48052006,7
48052005,7
48052007,7
48048001,5
48056006,7
48057003,7
48052002,7
48043005,5
48056007,7
48057007,7
48046010,6
48046011,6
48056003,7
48065004,5
48047001,5
48048010,5
48062002,5
48062006,5
048064004/048064005,7
48049003,6
48062001,5
48046009,6
48046008,6
48048008,6
48047004,5
48048002,5
48047002,5
48049001,5
48005003,6
47132024,5
47132022,5
48064008,7
48043013,6
048061008/01,6
48046001,5
48062005,5
47054019,5
48065002,5
48022001,6
48046004,6
48070008,7
48042011,6
48043012,6
48043008,7
48034005,4
48072001,5
48020003,5
48020002,5
48072005,5
48020006,7
48044011,5
48042001,6
48023003,5
48072004,5
048073002/01,5
48072002,5
48072003,5
48034006,5
48070007,4
47132082,4
47132052,7
47016059,7
48008002,5
48006004,7
48017002,7
48071002,5
48001001,5
48055001,7
47235008,5
48005002,6
48070012,4
47132064,3
47132063,7
47132061,7
48023006,6
47054004,3
48023001,6
48023012,6
48054003,7
48052001,6
48021001,6
48034002,6
48004003,6
48022002,6
48023005,6
48055003,7
48025001,6
48025002,6
48025004,6
48013004,5
48020005,7
48054006,7
48054007,7
48054008,7
48054005,7
48058002,5
48061001,6
47271005,6
47107016,6
47106009,2
47077020,3
47077019,3
47077022,3
47253014,3
47107025,5
48047006,5
48047008,7
48034008,5
48034004,4
48070001,5
47105014,3
48052003,7
47303007,3
47106007,6
47107012,7
47107029,5
47253010,4
047253002/02,6
48012007,7
48024002,6
48043009,6
48043006,6
48043015,3
48042014,3
48042015,6
47235006,5
47132037,6
47132049,4
47303018,3
47303017,3
47107022,5
47106005,3
47107026,6
47106027,6
047253002/01,5
47106019,3
47107020,3
47107002,3
47107003,6
47064019,5
47077016,3
47077014,3
47077023,2
47077009,3
47254011,7
47253011,3
47218005,3
47218002,3
47106018,3
48008008,4
48033001,5
48032001,5
47253005,3
47323010,5
47254008,3
47254007,5
47278004,3
47323016,5
047323012/047323013,5
47323007,3
47278003,3
47323004,3
47152004,5
47152009,7
47254003,5
47258013,3
47253019,3
47258003,5
47323011,5
47323029,3
47323018,3
47323022,5
47253023,3
47253024,3
47105008,3
47173007,3
48055002,7
48057004,7
48012006,6
48012003,7
048030004/03,7
48015004,7
48065006,6
048042009/01,7
48052008,7
48053002,7
48057005,7
48007003,5
48007002,7
48029004,6
48060003,7
48015003,7
48037005,6
48037004,6
48037007,7
48054009,7
48054011,7
48054010,7
48040006,3
48053005,7
48060001,7
48040007,6
48053004,7
48052010,7
48052009,7
48012005,6
48057001,5
48024007,6
47271014,7
